City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Port Keats,AU,-14.25,129.55,71.44,84,100,2.01,overcast clouds
189,Chapais,CA,49.7834,-74.8492,67.84,26,52,7.14,broken clouds
190,Linkoping,SE,58.4109,15.6216,71.98,47,75,8.05,broken clouds
191,Mayumba,GA,-3.432,10.6554,79.36,81,38,9.69,scattered clouds
192,Sitka,US,57.0531,-135.33,57.09,67,90,18.41,light rain
193,Qasigiannguit,GL,68.8193,-51.1922,35.85,89,100,4.41,overcast clouds
194,Jambi,ID,-1.6,103.6167,74.37,98,87,2.44,overcast clouds
195,Pemba,MZ,-12.974,40.5178,78.19,75,4,11.97,clear sky
196,Yatou,CN,37.15,122.3833,62.55,89,89,11.21,light rain
197,Kati,ML,12.7441,-8.0726,99.81,24,100,2.77,overcast clouds
198,Belyy Yar,RU,53.6039,91.3903,48.09,61,1,1.88,clear sky
199,Pisco,PE,-13.7,-76.2167,65.01,86,100,4.34,overcast clouds
200,Bokoro,TD,12.3807,17.0568,108.16,9,9,7.47,clear sky
201,Fandriana,MG,-20.2333,47.3833,61.03,81,84,3.06,broken clouds
202,Nakusp,CA,50.2499,-117.8023,67.26,53,100,2.01,overcast clouds
203,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,75,2.44,light rain
204,Port Moresby,PG,-9.4431,147.1797,74.39,88,100,11.63,overcast clouds
205,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.93,71,26,7.65,scattered clouds
206,Abeche,TD,13.8292,20.8324,105.87,10,19,9.1,few clouds
207,Half Moon Bay,US,37.4636,-122.4286,79.29,69,1,5.23,clear sky
208,Saskylakh,RU,71.9167,114.0833,47.89,66,76,12.77,broken clouds
209,Hithadhoo,MV,-0.6,73.0833,84.09,70,86,16.33,overcast clouds
210,Hami,CN,42.8,93.45,79.81,10,2,10.45,clear sky
211,Lazaro Cardenas,MX,17.9583,-102.2,85.95,61,88,4.16,overcast clouds
212,Paranagua,BR,-25.52,-48.5092,69.49,92,100,2.1,overcast clouds
213,Tayu,ID,-6.5397,111.0518,78.35,87,92,4.32,overcast clouds
214,Middelburg,ZA,-25.7751,29.4648,55.56,64,74,14.29,light rain
215,Isangel,VU,-19.55,169.2667,70.68,68,76,12.75,broken clouds
216,Gimbi,ET,9.1667,35.8333,66.45,61,45,3.51,scattered clouds
217,Kilindoni,TZ,-7.9139,39.6668,78.22,79,20,9.73,few clouds
218,Asau,RO,46.4333,26.4,58.75,73,99,5.28,overcast clouds
219,Kupang,ID,-10.1667,123.5833,75.96,89,100,6.62,overcast clouds
220,Rio Gallegos,AR,-51.6226,-69.2181,35.24,69,100,4.05,overcast clouds
221,Bahia Honda,CU,22.9036,-83.1592,85.71,57,0,8.28,clear sky
