City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Dar Es Salaam,TZ,76.57,scattered clouds,-6.8235,39.2695,Hotel Nikko Tower
439,Gizo,SB,80.85,light rain,-8.103,156.8419,Imagination Island
440,Vila Velha,BR,85.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
441,Sangmelima,CM,76.77,light rain,2.9333,11.9833,gamestar hotel
444,Miracema Do Tocantins,BR,92.08,clear sky,-9.5618,-48.3967,Miami Apart Hotel
447,Camocim,BR,88.38,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
449,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
451,Miranda,CO,75.33,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
461,Tartagal,AR,75.34,clear sky,-22.5164,-63.8013,Almuñecar Hotel
464,Caravelas,BR,81.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
467,Booue,GA,86.45,light rain,-0.0921,11.9385,Splendeur de l'équateur
472,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
473,Vung Tau,VN,84.61,scattered clouds,10.345999999999998,107.0843,Green hotel
474,Llanes,ES,77.27,few clouds,43.4198,-4.7549,Hotel La Paz
475,Baft,IR,80.46,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
478,Eirunepe,BR,83.35,overcast clouds,-6.6603,-69.8736,Atrás de você
483,Mamallapuram,IN,87.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
484,Tual,ID,81.41,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
487,Casas Grandes,MX,75.43,clear sky,30.3667,-107.95,Pueblo del Soul B&B
488,Lubao,PH,86.02,overcast clouds,14.9167,120.55,Hacienda Gracia
493,Sibolga,ID,77.68,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
495,Puerto Narino,CO,84.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
501,Srivardhan,IN,79.47,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
502,Gaya,IN,87.71,mist,24.7833,85.0,Hotel Kumar Kripa
503,Daoukro,CI,93.06,broken clouds,7.0591,-3.9631,Komenan brou roseline
509,Fevik,NO,80.1,broken clouds,58.3794,8.6766,Strand Hotel Fevik - by Classic Norway Hotels
512,Semnan,IR,89.83,clear sky,35.5729,53.3971,Semnan Tourist Hotel
513,Gorontalo,ID,76.33,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
515,Tevaitoa,PF,77.99,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
516,Dicabisagan,PH,80.92,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
517,Ondjiva,AO,75.83,scattered clouds,-17.0667,15.7333,SOS Motel
518,Sinnamary,GF,76.48,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
